Scan Configurations
Target Ip-Address : 45.33.32.156     
No of Ports to scan : 250
Scans to be performed : NULL FIN UDP 
No of threads : 1
Scanning..
...................
Scan took 252.60933 secs
IP address: 45.33.32.156

Open ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
123       ntp                          NULL(Filtered) FIN(Filtered) UDP(Open)        Open

Closed/Filtered/Unfiltered ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
223       cdc                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
224       masqdialer                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
225       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
226       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
227       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
228       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
229       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
230       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
231       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
232       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
233       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
234       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
235       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
236       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
237       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
238       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
239       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
240       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
241       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
242       direct                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
243       sur-meas                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
244       dayna                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
245       link                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
246       dsp3270                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
247       subntbcst_tftp               NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
248       bhfhs                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
249       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
250       unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed

